epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,7030.39,1.47864,1.57819,1.00303,0.44755,0.29547,0.26639,0.10071,1.56509,1.95637,1.11373,0.000713,0.000713,0.000713
67,7123.74,1.56558,1.62898,1.05783,0.48835,0.29412,0.26339,0.10286,1.56229,1.96937,1.11911,0.0006932,0.0006932,0.0006932
68,7216.27,1.54244,1.63595,1.03594,0.52426,0.24706,0.26313,0.1051,1.49291,1.99694,1.08092,0.0006734,0.0006734,0.0006734
69,7308.93,1.48743,1.63138,1.01863,0.40157,0.28235,0.25602,0.10096,1.54194,1.93027,1.09901,0.0006536,0.0006536,0.0006536
70,7402.37,1.45747,1.54975,0.99781,0.46267,0.27059,0.23563,0.09127,1.54003,1.93082,1.09588,0.0006338,0.0006338,0.0006338
71,7494.11,1.37107,1.4994,0.95902,0.35296,0.25882,0.24468,0.10556,1.57128,1.96513,1.10526,0.000614,0.000614,0.000614
72,7588.06,1.51847,1.55506,1.04182,0.59834,0.25882,0.28657,0.1073,1.53593,1.99548,1.09902,0.0005942,0.0005942,0.0005942
73,7680.45,1.44309,1.54587,0.98479,0.52202,0.28235,0.29409,0.12153,1.54529,1.90282,1.09611,0.0005744,0.0005744,0.0005744
74,7772.59,1.4253,1.49777,0.97473,0.44002,0.29412,0.24823,0.10131,1.54041,1.92758,1.08772,0.0005546,0.0005546,0.0005546
75,7866.17,1.47491,1.54644,1.00724,0.44706,0.31765,0.26759,0.10959,1.53121,1.98218,1.0725,0.0005348,0.0005348,0.0005348
76,7958.58,1.45003,1.50059,0.97121,0.48084,0.28235,0.25742,0.1074,1.58145,1.94937,1.1083,0.000515,0.000515,0.000515
77,8051.13,1.42553,1.50069,0.96842,0.37933,0.31765,0.26963,0.11151,1.54138,1.91886,1.08037,0.0004952,0.0004952,0.0004952
78,8143.71,1.42407,1.47958,0.98135,0.48907,0.32941,0.31186,0.12462,1.5433,1.92603,1.08104,0.0004754,0.0004754,0.0004754
79,8235.59,1.33933,1.42506,0.91515,0.4968,0.31366,0.27866,0.12673,1.51306,1.85482,1.08052,0.0004556,0.0004556,0.0004556
80,8328.79,1.42643,1.46977,0.95103,0.48468,0.27059,0.26901,0.10906,1.54826,1.93739,1.09117,0.0004358,0.0004358,0.0004358
