epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,19645.9,1.25556,0.75504,1.20718,0.90883,0.83807,0.91487,0.5463,1.44679,0.92188,1.35755,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,19954.1,1.255,0.75327,1.20745,0.90587,0.83917,0.91471,0.54632,1.4476,0.92118,1.35796,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,20262.9,1.24091,0.74622,1.19726,0.9041,0.83917,0.9153,0.54562,1.44904,0.92117,1.35943,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,20571.5,1.23906,0.74117,1.197,0.90685,0.83807,0.91513,0.54617,1.4511,0.91963,1.36118,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,20879.7,1.23622,0.74186,1.19778,0.90814,0.83589,0.91438,0.54589,1.45129,0.91912,1.36156,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,21187.4,1.23965,0.73125,1.19435,0.90686,0.83628,0.91466,0.54552,1.45103,0.91882,1.36211,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,21495.4,1.2323,0.72686,1.18855,0.91012,0.83425,0.91419,0.54524,1.45139,0.91794,1.36306,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,21803.8,1.22321,0.72597,1.1872,0.90716,0.83479,0.91477,0.54507,1.45303,0.91694,1.36511,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,22112.3,1.21211,0.71739,1.1801,0.90649,0.83791,0.91503,0.54496,1.45226,0.91645,1.36495,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,22421.1,1.21478,0.70808,1.17924,0.90663,0.83589,0.9149,0.54465,1.4538,0.9163,1.36733,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,22729.7,1.2081,0.70196,1.18133,0.90794,0.83643,0.91495,0.54399,1.45336,0.91436,1.36792,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
